student_id,sex_F,sex_M,age,guardian_father,guardian_mother,guardian_other,father_edu,father_job_at_home,father_job_health,father_job_other,father_job_services,father_job_teacher,mother_edu,mother_job_at_home,mother_job_health,mother_job_other,mother_job_services,mother_job_teacher,parents_status_A,parents_status_T,family_relations,family_support,family_size_GT3,family_size_LE3,address_R,address_U,reason_course,reason_home,reason_other,reason_reputation,weekend_alcohol,workday_alcohol,extra_activities,freetime,goes_out,health,nursery,wants_higher,internet,in_relationship,school_GP,school_MS,school_support,paid_class,absences,failures,traveltime,studytime,passed
815,0,1,15,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,0,1,4,1,1,0,0,1,0,1,0,0,2,1,0,2,2,5,1,1,1,0,1,0,0,1,2,0,1,1,1
907,0,1,16,0,1,0,2,0,0,1,0,0,3,0,0,1,0,0,0,1,5,1,1,0,0,1,0,1,0,0,1,1,0,4,3,5,0,1,1,0,1,0,0,1,0,0,1,1,1
644,1,0,15,1,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,1,3,1,1,0,0,1,0,0,1,0,1,1,1,5,1,5,1,1,0,0,1,0,0,0,0,0,2,1,0
827,1,0,15,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,1,0,5,0,0,1,0,1,0,0,1,0,4,4,0,3,4,1,1,1,1,0,1,0,0,1,6,0,1,1,1
929,0,1,16,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0,1,5,0,1,0,0,1,0,0,0,1,2,2,1,3,2,5,1,1,0,0,1,0,0,0,2,0,1,1,1
838,0,1,17,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,4,1,1,0,0,1,0,1,0,0,1,1,1,5,1,3,1,0,1,0,1,0,1,0,2,3,2,1,1
880,0,1,15,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,3,1,1,0,0,1,1,0,0,0,3,1,1,2,2,3,0,1,1,1,1,0,1,1,2,0,1,1,1
559,1,0,16,0,1,0,4,0,0,1,0,0,4,0,0,1,0,0,0,1,5,0,1,0,0,1,0,0,0,1,2,1,1,3,4,1,0,1,1,0,1,0,0,0,6,0,1,1,1
815,0,1,16,1,0,0,3,0,0,0,1,0,3,0,0,1,0,0,0,1,5,0,1,0,0,1,0,1,0,0,1,1,1,4,2,5,1,1,1,0,1,0,0,0,0,0,2,1,1
811,0,1,15,1,0,0,4,0,0,1,0,0,3,0,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,1,2,1,0,4,3,4,1,1,1,0,1,0,0,0,6,0,1,1,1
855,1,0,17,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,1,3,1,0,1,0,1,1,0,0,0,3,1,0,4,4,5,1,1,1,1,1,0,0,0,12,0,1,1,1
691,1,0,16,0,0,1,3,0,0,1,0,0,3,0,0,1,0,0,1,0,4,1,1,0,0,1,1,0,0,0,1,1,1,3,2,5,0,1,1,1,1,0,0,0,0,2,2,1,0
825,0,1,17,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,5,1,1,0,0,1,0,1,0,0,2,1,0,4,5,5,1,1,1,0,1,0,0,0,0,3,1,1,0
