student_id;sex;age;guardian;father_edu;father_job;mother_edu;mother_job;parents_status;family_relations;family_support;family_size;address;reason;weekend_alcohol;workday_alcohol;extra_activities;freetime;goes_out;health;nursery;wants_higher;internet;in_relationship;school;school_support;paid_class;absences;failures;traveltime;studytime;passed
815;M;15;mother;2;other;2;other;T;4;1;GT3;U;home;2;1;0;2;2;5;1;1;1;0;GP;0;1;2;0;1;1;1
907;M;16;mother;2;other;3;other;T;5;1;GT3;U;home;1;1;0;4;3;5;0;1;1;0;GP;0;1;0;0;1;1;1
644;F;15;father;3;other;2;other;T;3;1;GT3;U;other;1;1;1;5;1;5;1;1;0;0;GP;0;0;0;0;2;1;0
827;F;15;mother;3;other;3;other;A;5;0;LE3;U;other;4;4;0;3;4;1;1;1;1;0;GP;0;1;6;0;1;1;1
929;M;16;mother;1;other;3;other;T;5;0;GT3;U;reputation;2;2;1;3;2;5;1;1;0;0;GP;0;0;2;0;1;1;1
838;M;17;mother;1;other;2;other;T;4;1;GT3;U;home;1;1;1;5;1;3;1;0;1;0;GP;1;0;2;3;2;1;1
880;M;15;father;3;services;2;other;T;3;1;GT3;U;course;3;1;1;2;2;3;0;1;1;1;GP;1;1;2;0;1;1;1
559;F;16;mother;4;other;4;other;T;5;0;GT3;U;reputation;2;1;1;3;4;1;0;1;1;0;GP;0;0;6;0;1;1;1
815;M;16;father;3;services;3;other;T;5;0;GT3;U;home;1;1;1;4;2;5;1;1;1;0;GP;0;0;0;0;2;1;1
811;M;15;father;4;other;3;other;T;3;0;GT3;U;reputation;2;1;0;4;3;4;1;1;1;0;GP;0;0;6;0;1;1;1
855;F;17;father;2;other;2;other;T;3;1;LE3;U;course;3;1;0;4;4;5;1;1;1;1;GP;0;0;12;0;1;1;1
691;F;16;other;3;other;3;other;A;4;1;GT3;U;course;1;1;1;3;2;5;0;1;1;1;GP;0;0;0;2;2;1;0
825;M;17;mother;1;other;2;other;T;5;1;GT3;U;home;2;1;0;4;5;5;1;1;1;0;GP;0;0;0;3;1;1;0
527;M;18;mother;1;other;1;other;T;2;0;LE3;U;course;5;2;0;3;5;4;1;0;1;1;GP;0;0;0;3;1;1;0
816;F;17;mother;4;teacher;4;other;T;4;1;GT3;U;course;1;1;0;2;1;4;1;1;0;1;GP;1;0;0;0;1;1;1
572;M;17;mother;2;other;1;other;T;2;0;LE3;R;reputation;3;3;0;2;2;5;1;1;0;0;GP;0;0;8;0;1;1;1
811;M;16;mother;2;other;1;other;T;4;0;LE3;U;course;4;2;1;4;4;5;1;1;0;0;GP;0;0;0;1;2;1;0
904;M;16;father;4;other;3;other;T;3;1;GT3;U;course;4;2;1;4;5;2;0;1;1;0;GP;0;0;0;2;3;1;0
643;M;16;father;3;other;2;other;T;5;0;GT3;U;home;1;1;0;3;3;3;1;1;1;0;GP;0;0;0;0;2;1;1
770;F;17;mother;2;other;2;other;T;5;1;GT3;R;reputation;2;1;0;3;2;3;1;1;1;0;GP;0;0;18;0;1;1;0
717;F;16;mother;1;other;2;other;T;4;0;GT3;U;home;1;1;0;5;2;5;1;1;1;1;GP;0;0;20;0;1;1;1
533;M;16;mother;1;other;2;other;T;4;0;GT3;U;course;1;1;0;3;3;4;1;1;1;0;GP;0;0;6;0;3;1;1
